"CategoryGrid_productImg_container__Ga1ll href","sc-kDvujY src 2","CategoryGrid_product_name__3nYsN","CategoryGrid_product_price__Svf8T"
"https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/beet-root-per-250gm/12620485","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620485-0-M.jpg&w=3840&q=75","Beet Root Per 250GM","Rs. 25"
"https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/hybrid-green-chilli-per-250gm/12620060","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620060-0-M.jpg&w=3840&q=75","Hybrid Green Chilli Per 250GM","Rs. 42"
"https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/round-aubergines-(baingan)-per-250gm/12620307","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620307-0-M.jpg&w=3840&q=75","Round Aubergines (Baingan) Per 250GM","Rs. 37"
"https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/sweet-potato-per-250gm/12620510","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F1689768980700.jpg&w=3840&q=75","Sweet Potato Per 250GM","Rs. 57"
"https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/iceberg-lettuce-per-250gm/12620191","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620191-0-M.jpg&w=3840&q=75","Iceberg Lettuce Per 250GM","Rs. 50"
"https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/garlic-cleaned-per-250gm/12620598","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620598-0-M.jpg&w=3840&q=75","Garlic Cleaned Per 250GM","Rs. 285"
"https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/ginger-china-premium-per-250gm/12620204","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620204-0-M.jpg&w=3840&q=75","Ginger China Premium Per 250GM","Rs. 137"
"https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/green-lettuce-salad-patta-per-250gm/12620496","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620496-0-M.jpg&w=3840&q=75","Green Lettuce Salad Patta Per 250GM","Rs. 75"
"https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/french-beans-per-250gm/12620998","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620998-0-M.jpg&w=3840&q=75","French Beans Per 250GM","Rs. 62"
"https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/okra-(bhindi)-per-250gm-/12620219","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620219-0-M.jpg&w=3840&q=75","Okra (Bhindi) Per 250GM","Rs. 65"
"https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/tinda-per-250gm-/12620310","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620310-0-M.jpg&w=3840&q=75","Tinda Per 250GM","Rs. 55"
"https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/mint-leaves-per-250gm/12620054","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620054-0-M.jpg&w=3840&q=75","Mint Leaves Per 250GM","Rs. 100"
"https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/saag-bunch-250gm-/12622835","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F1697018118078.jpg&w=3840&q=75","Saag Bunch 250GM","Rs. 8"
"https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/garlic-china-premium-per-250gm/12620278","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620278-0-M.jpg&w=3840&q=75","Garlic China Premium Per 250GM","Rs. 212"
"https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/capsicum-green-premium-per-250gm/12623008","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12623008-0-M.jpg&w=3840&q=75","Capsicum Green Premium Per 250GM","Rs. 42"
"https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/cucumber-farmi-premium-per-250gm/12622457","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12622457-0-M.jpg&w=3840&q=75","Cucumber Farmi Premium Per 250GM","Rs. 24"
"https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/pumpkin-halwa-kadoo-per-2kg/12620915","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F1697018247738.jpg&w=3840&q=75","Pumpkin Halwa Kadoo Per 2KG","Rs. 338"
"https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/broccoli-per-250gm/12621861","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12621861-0-M.jpg&w=3840&q=75","Broccoli Per 250GM","Rs. 80"
